step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
4,DEBIT,3245.33,C22489409,8950.35,5705.02,C71873691,69051.38,72296.71,0,0
4,PAYMENT,1883.69,C86125617,238658.66,236774.97,C25132198,0.0,0.0,0,0
4,CASH_OUT,4169.44,C54988206,6986.86,2817.42,C69862640,79365.21,83534.65,0,0
4,CASH_OUT,3454.07,C62274692,9382.88,5928.81,C37133023,68485.2,71939.27,0,0
4,TRANSFER,6793.77,C66975380,12917.96,6124.19,C57746984,149001.0,155794.77,0,0
4,PAYMENT,181.25,C81481992,161792.42,161611.17,C36229153,0.0,0.0,0,0
4,PAYMENT,1527.59,C84660688,303279.61,301752.02,C81432350,0.0,0.0,0,0
4,PAYMENT,1075.66,C75228535,221974.87,220899.21,M45482091,0.0,0.0,0,0
4,CASH_IN,1483.69,C92590645,2691.92,1208.23,C72267186,48446.03,49929.72,0,0
5,TRANSFER,17004.99,C49172995,19872.33,2867.34,C29907683,158506.59,175511.58,0,0
5,PAYMENT,130.16,C61220073,355365.56,355235.4,C62755436,0.0,0.0,0,0
5,PAYMENT,273.71,C57219209,390697.18,390423.47,M77680031,0.0,0.0,0,0
5,CASH_IN,8304.44,C47077298,17749.45,9445.01,C27544302,17373.74,25678.18,0,0
5,CASH_OUT,10307.6,C30703455,11495.6,1188.0,C98221829,3307.1,13614.7,0,0
5,CASH_OUT,1082.48,C97971488,1513.54,431.06,C47706144,36835.19,37917.67,0,0
5,DEBIT,3925.5,C32269779,7041.89,3116.39,C58469365,92307.36,96232.86,0,0
5,CASH_OUT,11371.21,C70667140,22487.4,11116.19,M25805613,44610.34,55981.55,0,0
5,PAYMENT,184.89,C43999198,238341.98,238157.09,C16570040,0.0,0.0,0,0
5,PAYMENT,845.59,C55440919,173436.0,172590.41,C34679818,0.0,0.0,0,0
5,CASH_OUT,9906.72,C68978194,26369.12,16462.4,C33193791,9039.19,18945.91,0,0
5,PAYMENT,1082.31,C87490893,26726.22,25643.91,C39698906,0.0,0.0,0,0
5,TRANSFER,3114.01,C98054173,5116.18,2002.17,C52803305,45048.86,48162.87,0,0
5,PAYMENT,627.86,C63481198,104952.03,104324.17,C10331931,0.0,0.0,0,0
6,CASH_IN,2001.92,C96547189,4057.02,2055.1,C11226946,86462.99,88464.91,0,0
6,TRANSFER,14669.04,C63690013,35532.69,20863.65,C20606094,27330.5,41999.54,0,0
6,TRANSFER,42913.58,C38609087,71721.9,28808.32,C56697654,122060.43,164974.01,0,0
6,CASH_IN,1500.31,C12179995,3638.97,2138.66,C70201634,70936.82,72437.13,0,0
6,TRANSFER,4395.17,C71124923,15623.77,11228.6,C22927031,92340.61,96735.78,0,0
6,PAYMENT,66.38,C31367172,152468.26,152401.88,C46685332,0.0,0.0,0,0
6,CASH_OUT,3542.6,C29413516,7683.81,4141.21,C59428849,734.76,4277.36,0,0
6,PAYMENT,499.94,C84384510,421955.41,421455.47,C52710350,0.0,0.0,0,0
6,CASH_IN,1419.3,C74893936,3256.85,1837.55,C30232642,60905.01,62324.31,0,0
6,PAYMENT,1018.41,C69038700,55836.06,54817.65,C53334226,0.0,0.0,0,0
6,CASH_IN,1435.72,C66661351,4273.74,2838.02,C41796721,64059.47,65495.19,0,0
6,CASH_OUT,7219.44,C99987086,17486.84,10267.4,C58557943,89237.38,96456.82,0,0
6,PAYMENT,1964.12,C69038700,76664.79,74700.67,M91883092,0.0,0.0,0,0
7,TRANSFER,12106.04,C63051354,41357.74,29251.7,M31809610,160670.39,172776.43,0,0
7,CASH_OUT,3886.93,C35519083,9179.03,5292.1,C14539747,72128.32,76015.25,0,0
7,PAYMENT,2715.47,C22304198,498739.61,496024.14,C61100987,0.0,0.0,0,0
7,PAYMENT,319.65,C67698610,210445.71,210126.06,C96255361,0.0,0.0,0,0
7,PAYMENT,1350.67,C84597009,19588.86,18238.19,C90664728,0.0,0.0,0,0
7,CASH_OUT,133.63,C67279295,225.34,91.71,C52803305,71336.93,71470.56,0,0
7,TRANSFER,3181.89,C14180968,7723.1,4541.21,C50645509,188192.92,191374.81,0,0
7,CASH_OUT,1008.02,C42594692,1350.72,342.7,C76545476,65761.47,66769.49,0,0
7,CASH_OUT,2494.79,C19183277,4843.79,2349.0,M85280948,74091.89,76586.68,0,0
7,CASH_IN,789.72,C38553319,1672.68,882.96,C53191535,91262.48,92052.2,0,0
7,PAYMENT,190.67,C88101741,449996.4,449805.73,C58079840,0.0,0.0,0,0
7,CASH_IN,10541.67,C26395999,15227.52,4685.85,M76845536,22332.79,32874.46,0,0
7,PAYMENT,1628.14,C80669879,211395.34,209767.2,C20770971,0.0,0.0,0,0
7,CASH_OUT,4100.66,C47818761,8903.11,4802.45,C17575790,46376.06,50476.72,0,0
8,TRANSFER,3422.52,C23009833,9936.23,6513.71,C34929311,116482.31,119904.83,0,0
8,PAYMENT,3422.68,C11868130,237165.4,233742.72,M43635675,0.0,0.0,0,0
8,CASH_IN,5063.35,C15917225,6276.69,1213.34,C76185975,68069.78,73133.13,0,0
8,PAYMENT,654.35,C29944139,207727.41,207073.06,C82633735,0.0,0.0,0,0
8,CASH_OUT,11420.49,C82446804,34086.69,22666.2,C37207628,34266.99,45687.48,0,0
8,DEBIT,7617.81,C81291936,21430.74,13812.93,C13957046,45757.14,53374.95,0,0
8,CASH_OUT,489.46,C82238741,1251.98,762.52,C72189327,48758.08,49247.54,0,0
8,PAYMENT,3442.35,C18484847,158080.21,154637.86,M65079923,0.0,0.0,0,0
8,CASH_OUT,96.2,C63606628,136.49,40.29,M69580374,77354.23,77450.43,0,0
8,PAYMENT,1643.74,C41163805,80900.69,79256.95,C82162880,0.0,0.0,0,0
8,PAYMENT,272.97,C12799319,390316.72,390043.75,C95971459,0.0,0.0,0,0
8,TRANSFER,14227.78,C72092888,32556.42,18328.64,C75319770,86376.06,100603.84,0,0
8,CASH_OUT,812329.34,C12784407,946631.37,134302.03,C37263310,89200.64,901529.98,1,0
9,PAYMENT,1878.13,C82287061,10922.23,9044.1,M84905122,0.0,0.0,0,0
9,PAYMENT,600.45,C83197857,367334.41,366733.96,C64913082,0.0,0.0,0,0
9,CASH_OUT,5293.87,C47393469,8598.22,3304.35,C10090721,10270.82,15564.69,0,0
9,CASH_OUT,5409.07,C16927215,6115.35,706.28,C62188655,4571.84,9980.91,0,0
9,CASH_OUT,541.79,C15950635,1105.56,563.77,C85686878,52411.76,52953.55,0,0
9,TRANSFER,3797.92,C21432787,5322.28,1524.36,C54499873,199231.64,203029.56,0,0
9,PAYMENT,5428.46,C76500726,375557.56,370129.1,C54327148,0.0,0.0,0,0
9,TRANSFER,26812.66,C52169044,92128.97,65316.31,C80638102,4805.82,31618.48,0,0
9,CASH_OUT,7969.13,C98588154,11335.13,3366.0,C92688322,2191.33,10160.46,0,0
9,TRANSFER,10421.87,C83715012,32655.16,22233.29,M94426338,158633.3,169055.17,0,0
9,TRANSFER,2706.58,C68461818,8968.93,6262.35,C28762704,125003.82,127710.4,0,0
9,CASH_OUT,1697.89,C46840133,3917.26,2219.37,M58438711,1974.18,3672.07,0,0
9,PAYMENT,1565.45,C69533928,209554.23,207988.78,M76942394,0.0,0.0,0,0
10,PAYMENT,4241.62,C86483924,274546.63,270305.01,M90197611,0.0,0.0,0,0
10,CASH_IN,12367.55,C43603811,16155.16,3787.61,C16950770,69519.2,81886.75,0,0
10,TRANSFER,286.93,C39711402,856.48,569.55,M20071854,132834.11,133121.04,0,0
10,CASH_IN,2844.69,C41523529,6290.37,3445.68,C75043108,13716.35,16561.04,0,0
10,CASH_IN,16618.68,C73837847,20105.75,3487.07,C92423989,71876.62,88495.3,0,0
10,DEBIT,1793.88,C23009833,2202.93,409.05,C32083803,10626.37,12420.25,0,0
10,TRANSFER,22956.72,C84045292,41069.15,18112.43,C60104292,105106.08,128062.8,0,0
10,PAYMENT,288.58,C83227889,352311.5,352022.92,C44224936,0.0,0.0,0,0
10,CASH_OUT,757123.2,C95585469,684323.53,0.0,M24710878,33060.36,0.0,1,0
10,CASH_IN,6004.13,C11994519,16894.18,10890.05,M76845536,83523.22,89527.35,0,0
10,CASH_OUT,561.14,C33420607,662.24,101.1,C62049575,51170.53,51731.67,0,0
10,CASH_OUT,23102.85,C57197152,34926.52,11823.67,C97244236,23116.03,46218.88,0,0
10,PAYMENT,1105.74,C79967676,233210.12,232104.38,C77447155,0.0,0.0,0,0
10,DEBIT,6800.17,C70597444,9176.17,2376.0,C17069536,3944.45,10744.62,0,0
11,CASH_OUT,6111.44,C77750178,9933.62,3822.18,C20612653,73854.02,79965.46,0,0
11,TRANSFER,4270.75,C66792612,4858.69,587.94,C53788744,170547.75,174818.5,0,0
11,CASH_OUT,8356.64,C88703005,14332.1,5975.46,C21674661,43771.45,52128.09,0,0
11,DEBIT,12273.08,C82017516,33836.28,21563.2,C27927298,9295.13,21568.21,0,0
11,TRANSFER,8454.21,C94743076,18618.98,10164.77,C94019376,192499.68,200953.89,0,0
11,CASH_OUT,5298.6,C29777514,14313.34,9014.74,C41966313,79989.91,85288.51,0,0
11,CASH_OUT,7993.1,C69686067,9800.44,1807.34,C96702893,69616.99,77610.09,0,0
11,DEBIT,2112.41,C39436733,5679.64,3567.23,C37040091,10371.31,12483.72,0,0
11,TRANSFER,1284.35,C73411827,3476.52,2192.17,C47358810,88194.4,89478.75,0,0
11,CASH_OUT,233.02,C82398083,517.94,284.92,C45106207,86257.58,86490.6,0,0
11,TRANSFER,9487.54,C69619341,34869.45,25381.91,C22485824,97132.85,106620.39,0,0
11,PAYMENT,1350.45,C24039158,444021.78,442671.33,M51971886,0.0,0.0,0,0
11,PAYMENT,67.1,C88990506,33541.35,33474.25,M28639738,0.0,0.0,0,0
12,CASH_OUT,1305790.1,C71031132,1387283.1,0.0,C50045602,72377.35,0.0,1,0
12,TRANSFER,1730.67,C37057085,4425.84,2695.17,C46066605,137960.09,139690.76,0,0
12,TRANSFER,17735.78,C63339667,56399.0,38663.22,M31217198,96904.01,114639.79,0,0
12,PAYMENT,1472.83,C38984499,321419.42,319946.59,C53928023,0.0,0.0,0,0
12,PAYMENT,89.6,C17672593,413566.03,413476.43,C15892193,0.0,0.0,0,0
12,TRANSFER,9434.93,C17003454,27646.2,18211.27,C61500679,32228.55,41663.48,0,0
12,CASH_OUT,6524.8,C98122539,17870.33,11345.53,C60388958,7486.52,14011.32,0,0
12,CASH_IN,3681.46,C63747791,5455.13,1773.67,C25145751,97014.5,100695.96,0,0
12,PAYMENT,2388.48,C97971488,112907.85,110519.37,C76545476,0.0,0.0,0,0
12,PAYMENT,876.98,C65684858,202831.94,201954.96,C58219001,0.0,0.0,0,0
12,PAYMENT,48.52,C68326160,230629.11,230580.59,M30695604,0.0,0.0,0,0
12,CASH_IN,9088.84,C41711468,17234.23,8145.39,C50300763,85658.92,94747.76,0,0
12,CASH_OUT,2679.3,C20896797,5344.52,2665.22,C81394920,65337.3,68016.6,0,0
12,PAYMENT,265.18,C12823170,207344.6,207079.42,C80322629,0.0,0.0,0,0
13,PAYMENT,1205.19,C14818295,2084.52,879.33,C92232236,0.0,0.0,0,0
13,CASH_OUT,5446.95,C27232410,12190.99,6744.04,C87396877,30459.8,35906.75,0,0
13,PAYMENT,4657.16,C91721371,105011.92,100354.76,C13296743,0.0,0.0,0,0
13,CASH_OUT,4091.15,C11994519,7064.13,2972.98,C62231715,5427.52,9518.67,0,0
13,CASH_OUT,2770.19,C40547349,5873.64,3103.45,C95525640,61975.8,64745.99,0,0
13,PAYMENT,670.02,C67985905,329269.27,328599.25,C23851475,0.0,0.0,0,0
13,CASH_OUT,122.49,C18050510,308.51,186.02,C29353063,22174.71,22297.2,0,0
13,PAYMENT,80.64,C97477029,415282.18,415201.54,C65902739,0.0,0.0,0,0
13,PAYMENT,2911.3,C54550177,147407.81,144496.51,C40655922,0.0,0.0,0,0
13,CASH_OUT,3263.92,C90447099,3562.75,298.83,C37449289,16415.54,19679.46,0,0
13,PAYMENT,1024.78,C62401521,358994.34,357969.56,C85672859,0.0,0.0,0,0
13,TRANSFER,2382.34,C16904975,6748.11,4365.77,C11226946,38321.14,40703.48,0,0
13,TRANSFER,6200.04,C10209961,14701.15,8501.11,C70768130,156502.66,162702.7,0,0
14,CASH_OUT,5090.57,C88714010,9310.35,4219.78,C79961132,92662.65,97753.22,0,0
14,PAYMENT,714.08,C68978194,295227.93,294513.85,C20135622,0.0,0.0,0,0
14,CASH_OUT,3547.2,C67801537,8218.56,4671.36,C63015826,95619.03,99166.23,0,0
14,DEBIT,5424.87,C22517517,10837.03,5412.16,C86884584,53036.43,58461.3,0,0
14,PAYMENT,119.77,C38317637,467783.52,467663.75,C11415698,0.0,0.0,0,0
14,CASH_OUT,184.35,C80162053,371.77,187.42,C63094168,92116.23,92300.58,0,0
14,CASH_OUT,14136.28,C48250360,34789.23,20652.95,C26674831,12838.18,26974.46,0,0
14,CASH_OUT,2506.5,C90014570,6931.45,4424.95,C82312290,50411.01,52917.51,0,0
14,CASH_OUT,3114.78,C75437844,8820.5,5705.72,C12244945,76237.47,79352.25,0,0
14,TRANSFER,34157.53,C73771720,133606.32,99448.79,C75846624,91116.3,125273.83,0,0
14,TRANSFER,39089.1,C82556484,121177.89,82088.79,M92012822,149936.95,189026.05,0,0
14,CASH_IN,1139.48,C20399639,2738.16,1598.68,C22828128,86070.75,87210.23,0,0
14,PAYMENT,169.34,C19010480,467885.01,467715.67,C90531692,0.0,0.0,0,0
14,PAYMENT,158.81,C50559278,102042.76,101883.95,M83867070,0.0,0.0,0,0
15,CASH_OUT,419.25,C88458327,708.78,289.53,C40728728,67237.37,67656.62,0,0
15,PAYMENT,2805.29,C60237832,487639.39,484834.1,C57060874,0.0,0.0,0,0
15,PAYMENT,2536.8,C68812137,272160.76,269623.96,C50232066,0.0,0.0,0,0
15,PAYMENT,198.63,C25585427,355755.66,355557.03,C92533595,0.0,0.0,0,0
15,CASH_OUT,5007.0,C24883373,10843.22,5836.22,C50364158,94267.37,99274.37,0,0
15,DEBIT,6691.47,C60237832,15714.83,9023.36,C84040345,89386.6,96078.07,0,0
15,CASH_OUT,1706.67,C60628276,3148.42,1441.75,C75609379,1277.05,2983.72,0,0
15,PAYMENT,2093.13,C94705205,191673.42,189580.29,M52196099,0.0,0.0,0,0
15,CASH_OUT,23335.02,C29175900,35794.91,12459.89,C94263610,78553.22,101888.24,0,0
15,TRANSFER,5682.93,C27896471,19993.37,14310.44,C76399516,138428.38,144111.31,0,0
15,CASH_OUT,2133.67,C95585469,2271.53,137.86,M44419327,81402.62,83536.29,0,0
15,CASH_IN,9824.2,C55377076,26879.71,17055.51,C96605343,73949.25,83773.45,0,0
15,TRANSFER,16777.42,C34194479,45027.44,28250.02,M97550053,48281.5,65058.92,0,0
16,CASH_OUT,594.19,C25458308,936.01,341.82,C32398441,66449.36,67043.55,0,0
16,CASH_IN,3568.54,C12205915,6334.55,2766.01,C72546007,95670.2,99238.74,0,0
16,CASH_OUT,1978.68,C53112268,4163.64,2184.96,C55332729,1296.52,3275.2,0,0
16,DEBIT,2514.94,C49682169,5636.29,3121.35,M69374716,78092.49,80607.43,0,0
16,PAYMENT,3546.86,C78140959,415331.77,411784.91,C80888325,0.0,0.0,0,0
16,PAYMENT,586.98,C73411827,352905.28,352318.3,C82156607,0.0,0.0,0,0
16,CASH_IN,15089.75,C39161443,37878.52,22788.77,C39127464,54661.51,69751.26,0,0
16,CASH_OUT,5046.15,C94216001,14778.05,9731.9,M48626436,29417.77,34463.92,0,0
16,TRANSFER,4264.27,C31172421,16577.03,12312.76,C38434222,147280.82,151545.09,0,0
16,PAYMENT,1684.49,C57553014,22235.85,20551.36,C72579077,0.0,0.0,0,0
16,CASH_OUT,7890.98,C42747037,10430.75,2539.77,C84892608,84601.42,92492.4,0,0
16,CASH_OUT,528.18,C66629388,1518.51,990.33,C82445335,3994.06,4522.24,0,0
16,TRANSFER,811.38,C42472386,2694.58,1883.2,C92533595,125447.97,126259.35,0,0
16,TRANSFER,7090.66,C90246882,23893.57,16802.91,C28198434,110481.88,117572.54,0,0
17,DEBIT,2210.96,C31227574,5340.27,3129.31,C56533974,52539.51,54750.47,0,0
17,PAYMENT,241.46,C36772387,261261.93,261020.47,M52111160,0.0,0.0,0,0
17,CASH_OUT,4864.53,C33068427,10148.19,5283.66,C58469365,40341.71,45206.24,0,0
17,PAYMENT,141.78,C44392446,441931.58,441789.8,M48553376,0.0,0.0,0,0
17,CASH_OUT,427.73,C88703005,678.87,251.14,C28808678,95030.83,95458.56,0,0
17,CASH_OUT,6175.0,C63339667,13107.48,6932.48,C38138531,75213.38,81388.38,0,0
17,PAYMENT,142.98,C41690501,59131.53,58988.55,M17698469,0.0,0.0,0,0
17,CASH_IN,2394.19,C26941092,3545.07,1150.88,C73820568,64226.44,66620.63,0,0
17,TRANSFER,20206.9,C24923247,22624.29,2417.39,C17195581,177246.37,197453.27,0,0
17,CASH_IN,21393.87,C60867083,55461.75,34067.88,C13498112,11337.4,32731.27,0,0
17,CASH_OUT,2410.1,C64502486,2529.19,119.09,C63795149,51686.78,54096.88,0,0
17,PAYMENT,2261.86,C54039837,258125.91,255864.05,C42122457,0.0,0.0,0,0
17,CASH_OUT,2810.17,C91721371,4476.23,1666.06,C73820568,65152.82,67962.99,0,0
18,CASH_IN,639.4,C13895645,744.7,105.3,C69085720,9595.64,10235.04,0,0
18,TRANSFER,237.02,C45798645,616.16,379.14,C52585056,125759.68,125996.7,0,0
18,TRANSFER,795.41,C85146293,1304.09,508.68,C94263610,137395.63,138191.04,0,0
18,PAYMENT,197.54,C33160465,104378.62,104181.08,M24251766,0.0,0.0,0,0
18,CASH_OUT,6902.99,C97488142,17138.4,10235.41,C93967184,43523.78,50426.77,0,0
18,CASH_OUT,16423.6,C89379016,38958.21,22534.61,C12674689,2375.29,18798.89,0,0
18,TRANSFER,133040.84,C85374852,118272.79,0.0,C28808678,7044.21,140085.05,1,0
18,PAYMENT,3054.25,C48504300,205001.12,201946.87,C45105069,0.0,0.0,0,0
18,PAYMENT,4964.31,C64830300,203415.11,198450.8,C85886408,0.0,0.0,0,0
18,PAYMENT,5263.79,C82238741,195971.93,190708.14,M59167775,0.0,0.0,0,0
18,PAYMENT,3336.58,C98447167,4937.67,1601.09,C42483531,0.0,0.0,0,0
18,TRANSFER,59581.94,C99300492,192917.57,133335.63,C48766747,10057.85,69639.79,0,0
18,PAYMENT,1220.66,C43822301,180134.67,178914.01,M83932683,0.0,0.0,0,0
19,CASH_IN,3752.22,C69329732,5927.28,2175.06,M45899440,68587.87,72340.09,0,0
19,CASH_OUT,5999.51,C58970845,17118.89,11119.38,M86790955,38141.36,44140.87,0,0
19,TRANSFER,255577.12,C48530827,232558.02,0.0,C79043610,79677.04,335254.16,1,1
19,CASH_OUT,4439.13,C95585469,7085.35,2646.22,C33535297,88697.81,93136.94,0,0
19,CASH_IN,282.56,C26706752,772.6,490.04,C17440911,64794.06,65076.62,0,0
19,PAYMENT,4515.99,C15624520,7552.8,3036.81,C60142505,0.0,0.0,0,0
19,DEBIT,3090.88,C60562485,3964.82,873.94,C39796480,4177.31,7268.19,0,0
19,CASH_OUT,1674.37,C20598952,3507.89,1833.52,C75697427,8512.69,10187.06,0,0
19,PAYMENT,944.59,C57469942,371232.38,370287.79,C19531069,0.0,0.0,0,0
19,TRANSFER,10614.92,C30767532,39454.43,28839.51,C76521096,170440.31,181055.23,0,0
19,PAYMENT,5507.44,C66775103,93628.38,88120.94,M65907088,0.0,0.0,0,0
19,CASH_IN,6039.32,C20106509,9092.1,3052.78,C37540722,11462.25,17501.57,0,0
19,TRANSFER,4544.55,C27690330,5286.06,741.51,C25479814,150457.32,155001.87,0,0
19,CASH_OUT,5821.65,C97883261,6673.29,851.64,C68664992,67168.52,72990.17,0,0
20,PAYMENT,3637.45,C64009265,100313.96,96676.51,M55659873,0.0,0.0,0,0
20,CASH_OUT,15008.69,C48605268,25729.05,10720.36,C64766762,67129.56,82138.25,0,0
20,CASH_OUT,4802.02,C90070438,5472.47,670.45,M51954112,19349.86,24151.88,0,0
20,TRANSFER,32488.22,C64807553,96758.59,64270.37,C52209421,138998.17,171486.39,0,0
20,DEBIT,281.36,C78159587,600.34,318.98,C29015320,80769.98,81051.34,0,0
20,PAYMENT,718.52,C79173614,85982.48,85263.96,C63270536,0.0,0.0,0,0
20,CASH_OUT,21871.38,C74019136,53024.94,31153.56,C95728324,64083.85,85955.23,0,0
20,PAYMENT,1362.59,C87265240,181024.03,179661.44,C79760901,0.0,0.0,0,0
20,TRANSFER,42144.5,C58592048,102826.76,60682.26,C28767690,89626.24,131770.74,0,0
20,CASH_OUT,9160.95,C40884937,11154.97,1994.02,C70201634,64555.16,73716.11,0,0
20,TRANSFER,6530.02,C81182864,22720.1,16190.08,C71533194,178368.11,184898.13,0,0
20,PAYMENT,97.04,C95511909,367305.22,367208.18,C64414096,0.0,0.0,0,0
20,DEBIT,8430.59,C41383044,20695.84,12265.25,M77454225,89210.52,97641.11,0,0
21,CASH_IN,28524.37,C90893133,64557.87,36033.5,C76545476,81264.24,109788.61,0,0
21,CASH_OUT,7376.42,C44269370,10515.24,3138.82,C99686372,3665.63,11042.05,0,0
21,CASH_IN,9523.86,C91424737,26552.25,17028.39,C82062301,53967.71,63491.57,0,0
21,PAYMENT,908.24,C35475673,76019.23,75110.99,C42813517,0.0,0.0,0,0
21,PAYMENT,4630.34,C84514489,445935.9,441305.56,M17940667,0.0,0.0,0,0
21,CASH_OUT,1348.02,C61185849,1708.97,360.95,C28767690,50112.32,51460.34,0,0
21,CASH_OUT,4863.35,C26879290,4966.37,103.02,C75581613,23888.08,28751.43,0,0
21,TRANSFER,1546.47,C98010774,4720.58,3174.11,C84204255,151684.01,153230.48,0,0
21,CASH_OUT,3723.05,C62401521,7940.2,4217.15,C46385762,56581.25,60304.3,0,0
21,CASH_OUT,3721.55,C98842638,9169.93,5448.38,C39648058,93917.53,97639.08,0,0
21,DEBIT,4063.77,C81691040,10252.67,6188.9,M97629787,23174.99,27238.76,0,0
21,CASH_OUT,10513.79,C73509974,24572.53,14058.74,C54689713,51788.52,62302.31,0,0
21,TRANSFER,1826.66,C63747464,6856.74,5030.08,C59805178,176428.84,178255.5,0,0
21,PAYMENT,2120.59,C32969840,163387.41,161266.82,C41802361,0.0,0.0,0,0
22,CASH_OUT,6138.33,C70606674,16323.63,10185.3,C85906869,83487.23,89625.56,0,0
22,PAYMENT,229.92,C38682516,273086.33,272856.41,C31493051,0.0,0.0,0,0
22,PAYMENT,657.53,C45594597,327530.31,326872.78,C61091554,0.0,0.0,0,0
22,CASH_OUT,2539.91,C96911784,6783.94,4244.03,C89484162,51666.29,54206.2,0,0
22,TRANSFER,28240.74,C46023439,71988.9,43748.16,C32533467,71226.7,99467.44,0,0
22,PAYMENT,1092.29,C28463709,244457.06,243364.77,C56226575,0.0,0.0,0,0
22,CASH_OUT,2575.4,C34359060,5160.26,2584.86,C27286109,13896.83,16472.23,0,0
22,CASH_OUT,9965.7,C45650176,22791.1,12825.4,M48851599,21151.71,31117.41,0,0
22,CASH_IN,845.41,C46553958,1457.86,612.45,M85554415,71730.27,72575.68,0,0
22,CASH_IN,3437.51,C98447167,5021.15,1583.64,C79043610,81117.26,84554.77,0,0
22,PAYMENT,931.88,C99300492,241795.29,240863.41,M35479101,0.0,0.0,0,0
