case_id,amount,tx_velocity_1h,origin_balance_drain_ratio,urgency_signal,coercion_pressure_signal,authority_claim_signal,has_obfuscated_url,recipient_age_days,kyc_verified,is_masked_virtual_handle,connected_entities,elevated_risk_mule_hops,cluster_risk_score,story_mismatch_detected,is_fraud
SYN-ADV-00026,3136.05,1,0.17,0,0,0,0,313,1,0,2,0,18.9,0,0
SYN-ADV-00027,946.15,2,0.16,0,0,0,0,397,1,0,3,0,25.1,1,0
SYN-ADV-00028,4150.96,4,0.23,0,0,0,0,463,1,0,5,0,20.1,0,0
SYN-ADV-00029,169.17,2,0.04,0,0,0,0,2009,1,0,2,0,9.3,0,0
SYN-ADV-00030,25.0,1,0.11,1,1,1,1,5,0,1,1,0,19.1,0,1
SYN-ADV-00031,210.23,1,0.18,0,0,0,0,1060,1,0,1,0,10.7,0,0
SYN-ADV-00032,67.49,2,0.2,0,0,0,0,833,1,0,1,0,13.2,0,0
SYN-ADV-00033,4091.7,2,0.03,0,0,0,0,407,0,0,3,0,32.9,0,0
SYN-ADV-00034,1644.38,2,0.04,0,0,0,0,642,1,0,2,0,13.3,0,0
SYN-ADV-00035,1116.17,1,0.05,0,0,0,0,2085,1,0,2,0,6.0,0,0
SYN-ADV-00036,321.58,1,0.05,0,0,0,0,991,1,0,2,0,6.3,0,0
SYN-ADV-00037,4841.07,2,0.1,0,0,0,0,290,1,0,3,0,36.4,1,0
SYN-ADV-00038,8303.45,3,0.11,0,0,0,0,790,1,0,8,0,29.7,0,0
SYN-ADV-00039,2294.69,1,0.11,0,0,0,0,325,1,1,3,0,12.0,0,0
SYN-ADV-00040,25881.47,4,0.32,0,0,0,0,381,1,0,7,0,32.1,0,0
SYN-ADV-00041,78661.67,4,0.52,1,0,0,0,254,1,0,4,0,16.5,1,0
SYN-ADV-00042,4713.75,1,0.16,0,0,0,0,184,1,0,3,0,19.5,0,0
SYN-ADV-00043,342.2,2,0.1,0,0,0,0,2011,1,0,1,0,8.6,0,0
SYN-ADV-00044,605.3,1,0.14,0,0,0,0,1362,1,0,2,0,3.2,0,0
SYN-ADV-00045,489.84,1,0.14,0,0,0,0,1120,1,0,1,0,3.9,0,0
SYN-ADV-00046,1964.91,2,0.23,0,0,0,0,90,0,0,7,2,74.2,1,1
SYN-ADV-00047,1188.61,1,0.16,0,0,0,0,1096,1,0,1,0,12.5,0,0
SYN-ADV-00048,2445.73,2,0.02,0,0,0,0,1220,1,0,1,0,7.9,0,0
SYN-ADV-00049,6516.22,2,0.19,0,0,0,0,2012,1,0,2,0,12.8,0,0
SYN-ADV-00050,31659.26,4,0.36,0,0,0,0,640,1,0,7,0,41.0,0,0
SYN-ADV-00051,23.31,2,0.16,0,0,0,0,2335,1,0,2,0,10.1,0,0
SYN-ADV-00052,5108.38,1,0.26,0,0,1,1,79,0,1,7,3,68.5,1,1
SYN-ADV-00053,31470.51,5,0.42,1,0,0,0,55,0,0,4,0,18.4,1,0
SYN-ADV-00054,26987.94,3,0.26,0,0,0,0,932,1,0,9,0,42.4,0,0
SYN-ADV-00055,680.84,2,0.05,0,0,0,0,1985,1,0,2,0,2.4,0,0
SYN-ADV-00056,2997.79,2,0.15,0,0,0,0,2114,1,0,1,0,14.7,0,0
SYN-ADV-00057,77554.31,2,0.28,1,0,1,0,178,1,0,2,0,20.0,0,0
SYN-ADV-00058,113.5,2,0.15,0,0,0,0,1926,1,0,2,0,12.9,0,0
SYN-ADV-00059,604.97,1,0.2,0,0,0,0,1633,1,0,1,0,10.5,0,0
SYN-ADV-00060,57140.37,2,0.63,1,1,1,0,109,1,0,2,0,22.4,0,0
SYN-ADV-00061,66351.85,3,0.49,0,0,0,0,128,0,0,2,0,22.7,0,0
SYN-ADV-00062,32010.85,3,0.22,0,0,0,0,912,1,0,6,0,22.1,0,0
SYN-ADV-00063,206.06,1,0.03,0,0,0,0,1435,1,0,1,0,12.4,0,0
SYN-ADV-00064,8285.53,5,0.51,1,0,1,0,260,1,0,2,0,19.5,0,0
SYN-ADV-00065,17441.53,2,0.23,0,0,0,0,931,1,0,9,0,47.0,0,0
SYN-ADV-00066,36656.67,4,0.36,0,1,1,1,877,1,0,5,0,52.3,1,1
SYN-ADV-00067,14817.15,2,0.25,0,0,0,0,512,1,0,6,0,33.7,0,0
SYN-ADV-00068,1124.52,2,0.07,0,0,0,0,1331,1,0,1,0,8.7,0,0
SYN-ADV-00069,11998.99,4,0.37,0,0,0,0,2323,1,0,3,1,51.6,1,1
SYN-ADV-00070,186.25,2,0.1,0,0,0,0,2374,1,0,2,0,7.5,0,0
SYN-ADV-00071,1532.59,2,0.08,0,0,0,0,2058,1,0,2,0,6.0,0,0
SYN-ADV-00072,50.0,4,0.19,1,1,1,1,18,0,1,9,1,90.3,1,1
SYN-ADV-00073,3586.9,2,0.01,0,0,0,0,2387,1,0,1,0,5.6,0,0
SYN-ADV-00074,807.42,2,0.14,0,0,0,0,717,1,0,2,0,3.3,0,0
SYN-ADV-00075,100.0,1,0.1,1,1,1,0,8,0,1,1,0,12.9,1,1
SYN-ADV-00076,135.16,1,0.04,0,0,0,0,1444,1,0,1,0,14.9,0,0
SYN-ADV-00077,4500.0,6,0.55,1,1,1,0,12,0,0,9,1,85.4,1,1
SYN-ADV-00078,3997.43,1,0.13,0,0,0,0,1283,1,0,1,0,4.0,0,0
SYN-ADV-00079,4213.98,1,0.1,0,0,0,0,70,0,1,9,2,81.2,1,1
SYN-ADV-00080,32527.11,4,0.28,0,0,0,0,1003,1,0,6,0,31.9,0,0
SYN-ADV-00081,23548.13,3,0.35,0,0,0,0,253,1,0,5,0,24.6,0,0
SYN-ADV-00082,3361.22,2,0.09,0,0,0,0,2119,1,0,2,0,11.1,0,0
SYN-ADV-00083,2486.02,2,0.09,0,0,0,0,363,1,0,2,0,11.5,0,0
SYN-ADV-00084,3340.61,2,0.39,0,0,0,0,1036,1,0,9,0,36.4,0,0
SYN-ADV-00085,500.0,6,0.13,1,1,1,0,8,1,1,12,1,82.3,1,1
SYN-ADV-00086,403.03,1,0.17,0,0,0,0,1550,1,0,2,0,11.0,0,0
SYN-ADV-00087,42615.92,1,0.35,1,1,0,0,1753,1,0,3,0,61.3,1,1
SYN-ADV-00088,8085.38,2,0.24,0,0,0,0,16,0,1,6,2,85.3,1,1
SYN-ADV-00089,25000.0,8,0.28,1,1,1,1,29,1,1,6,2,83.0,1,1
SYN-ADV-00090,825.41,2,0.09,0,0,0,0,2176,1,0,2,0,5.2,0,0
SYN-ADV-00091,206.52,2,0.05,0,0,0,0,2281,1,0,1,0,13.2,0,0
SYN-ADV-00092,4500.0,4,0.8,1,1,1,1,21,0,1,7,4,83.8,1,1
SYN-ADV-00093,2808.46,2,0.23,0,0,0,0,126,0,0,3,0,18.1,0,0
SYN-ADV-00094,4500.0,7,0.79,1,0,1,0,7,0,1,10,1,91.2,1,1
SYN-ADV-00095,1836.13,2,0.01,0,0,0,0,790,1,0,2,0,13.3,0,0
SYN-ADV-00096,5366.7,1,0.1,0,0,0,0,1285,1,0,2,0,10.1,0,0
SYN-ADV-00097,585.51,2,0.22,0,0,0,0,303,1,0,3,0,34.7,1,0
SYN-ADV-00098,500.0,3,0.66,1,1,1,0,17,0,1,5,1,79.1,1,1
SYN-ADV-00099,551.9,2,0.04,0,0,0,0,2375,1,0,2,0,9.4,0,0
SYN-ADV-00100,71.38,1,0.04,0,0,0,0,1766,1,0,1,0,8.5,0,0
SYN-ADV-00101,23575.08,4,0.43,1,0,0,0,192,1,0,2,0,11.6,0,0
SYN-ADV-00102,94.28,2,0.13,0,0,0,0,1937,1,0,2,0,7.9,0,0
SYN-ADV-00103,3598.29,2,0.17,0,0,0,0,636,1,0,1,0,7.0,0,0
SYN-ADV-00104,249.8,2,0.2,0,0,0,0,1409,1,0,1,0,14.7,0,0
SYN-ADV-00105,6381.06,2,0.01,0,0,0,0,400,1,0,2,0,12.8,0,0
SYN-ADV-00106,1687.73,1,0.13,0,0,0,0,1643,1,0,1,0,10.3,0,0
SYN-ADV-00107,24527.34,4,0.33,0,0,0,0,877,1,0,6,0,37.6,0,0
SYN-ADV-00108,1969.12,1,0.07,0,0,0,0,2005,1,0,1,0,9.5,0,0
SYN-ADV-00109,1515.76,1,0.18,0,0,0,0,1538,1,0,2,0,4.3,0,0
SYN-ADV-00110,100.0,1,0.11,1,1,1,0,8,0,1,1,0,34.2,1,1
SYN-ADV-00111,156.94,1,0.1,0,0,0,0,508,1,0,1,0,11.8,0,0
SYN-ADV-00112,1747.24,3,0.27,0,0,0,0,81,0,0,4,2,77.3,1,1
SYN-ADV-00113,77.44,2,0.12,0,0,0,0,1721,1,0,1,0,10.8,0,0
SYN-ADV-00114,54563.75,4,0.62,1,1,0,0,199,1,0,2,0,13.1,0,0
SYN-ADV-00115,44409.97,2,0.34,1,0,0,0,259,1,0,4,0,13.4,0,0
SYN-ADV-00116,4500.0,6,0.41,0,1,1,1,10,0,1,10,3,73.3,1,1
SYN-ADV-00117,400.24,2,0.03,0,0,0,0,1068,1,0,1,0,2.7,0,0
SYN-ADV-00118,84105.67,3,0.28,1,1,1,0,164,1,0,2,0,27.4,0,0
SYN-ADV-00119,50.0,3,0.51,1,1,0,1,14,0,1,10,1,75.8,1,1
SYN-ADV-00120,47086.84,2,0.44,1,0,1,0,158,0,0,2,0,26.0,0,0
SYN-ADV-00121,4155.52,2,0.1,0,0,0,0,327,1,0,1,0,15.0,0,0
SYN-ADV-00122,640.7,2,0.14,0,0,0,0,2208,1,0,2,0,3.0,0,0
SYN-ADV-00123,25000.0,3,0.15,1,1,1,1,22,0,1,11,1,89.4,1,1
SYN-ADV-00124,4412.99,1,0.12,0,0,0,0,146,1,0,3,0,22.8,1,0
SYN-ADV-00125,24116.01,3,0.39,0,0,0,0,883,1,0,8,0,21.9,0,0
SYN-ADV-00126,1633.14,1,0.09,0,0,0,0,1726,1,0,1,0,9.2,0,0
SYN-ADV-00127,20751.56,3,0.3,0,0,0,0,600,1,0,7,0,44.5,0,0
SYN-ADV-00128,38834.95,2,0.64,1,0,0,0,153,1,0,3,0,14.9,1,0
SYN-ADV-00129,430.32,2,0.03,0,0,0,0,1341,1,0,1,0,12.5,0,0
SYN-ADV-00130,3427.68,1,0.13,0,0,0,0,1295,1,0,1,0,4.3,0,0
SYN-ADV-00131,1683.13,2,0.1,0,0,0,0,122,0,0,3,0,13.8,0,0
SYN-ADV-00132,12340.61,3,0.4,1,1,1,0,211,1,0,4,0,23.1,0,0
SYN-ADV-00133,25000.0,2,0.61,1,1,1,1,11,0,1,10,4,74.4,1,1
SYN-ADV-00134,1956.7,2,0.02,0,0,0,0,1818,1,0,1,0,2.1,0,0
SYN-ADV-00135,9365.1,2,0.33,0,0,0,0,476,1,0,7,0,23.4,0,0
SYN-ADV-00136,16496.29,2,0.21,0,0,0,0,900,1,0,6,0,34.0,0,0
SYN-ADV-00137,28701.51,2,0.22,0,0,0,0,939,1,0,5,0,32.2,0,0
SYN-ADV-00138,11229.01,4,0.48,1,0,0,0,103,1,0,3,0,13.8,0,0
SYN-ADV-00139,279.44,2,0.03,0,0,0,0,633,1,0,1,0,7.7,0,0
SYN-ADV-00140,5056.03,3,0.32,0,0,0,0,406,1,0,7,0,41.8,0,0
SYN-ADV-00141,10.0,1,0.11,1,1,1,0,11,0,1,1,0,30.4,1,1
SYN-ADV-00142,50.0,3,0.55,1,1,1,0,18,0,1,12,3,91.0,1,1
SYN-ADV-00143,10.0,5,0.43,1,1,1,1,12,0,1,10,3,73.7,1,1
SYN-ADV-00144,54200.67,5,0.44,1,0,0,0,275,0,0,4,0,24.3,0,0
SYN-ADV-00145,277.97,1,0.19,0,0,0,0,2045,1,0,1,0,12.5,0,0
SYN-ADV-00146,1780.97,1,0.11,0,0,0,0,906,1,0,1,0,5.2,0,0
SYN-ADV-00147,40153.74,3,0.4,0,0,0,0,71,1,0,4,0,17.4,0,0
SYN-ADV-00148,1883.13,2,0.06,0,0,0,0,815,1,0,2,0,3.1,0,0
SYN-ADV-00149,605.45,2,0.07,0,0,0,0,1805,1,0,1,0,9.7,0,0
SYN-ADV-00150,29766.55,5,0.51,1,1,0,0,92,1,0,3,0,21.2,1,0
SYN-ADV-00151,81093.55,4,0.63,1,1,1,0,84,1,0,2,0,21.2,0,0
SYN-ADV-00152,19612.28,4,0.2,0,0,0,0,964,1,0,9,0,23.7,0,0
SYN-ADV-00153,17979.78,3,0.54,1,0,0,0,272,1,0,4,0,27.2,0,0
SYN-ADV-00154,43503.45,4,0.56,1,0,1,0,2275,1,0,5,0,60.1,1,1
SYN-ADV-00155,50.0,8,0.55,1,1,1,1,6,0,1,6,3,73.8,1,1
SYN-ADV-00156,477.24,1,0.17,0,0,0,0,575,1,0,1,0,12.6,0,0
SYN-ADV-00157,5433.46,1,0.09,0,0,0,0,1823,1,0,2,0,5.1,0,0
SYN-ADV-00158,3354.08,2,0.05,0,0,0,0,1505,1,0,1,0,12.9,0,0
SYN-ADV-00159,68310.45,3,0.27,0,0,0,0,285,1,0,2,0,29.9,1,0
SYN-ADV-00160,25.0,1,0.11,1,1,1,1,5,0,1,1,0,13.0,1,1
SYN-ADV-00161,1305.23,2,0.02,0,0,0,0,2247,1,0,1,0,10.2,0,0
SYN-ADV-00162,340.82,1,0.07,0,0,0,0,206,1,0,2,0,5.1,0,0
SYN-ADV-00163,58149.7,2,0.46,1,0,0,0,55,1,0,3,0,11.0,0,0
SYN-ADV-00164,51.92,1,0.08,0,0,0,0,476,1,0,2,0,5.1,0,0
SYN-ADV-00165,13293.11,4,0.3,1,0,0,0,282,0,0,3,0,23.9,0,0
SYN-ADV-00166,4500.0,2,0.32,1,1,1,0,19,0,1,12,3,72.8,1,1
SYN-ADV-00167,12510.25,1,0.31,0,0,0,1,57,0,1,7,2,72.8,1,1
SYN-ADV-00168,1963.27,2,0.2,0,0,0,0,402,1,0,2,0,26.2,0,0
SYN-ADV-00169,30249.99,3,0.35,0,1,1,0,2188,1,0,5,1,58.0,1,1
SYN-ADV-00170,3968.29,1,0.02,0,0,0,0,1863,1,0,2,0,8.7,0,0
SYN-ADV-00171,5116.26,1,0.19,0,0,0,0,784,1,0,2,0,2.5,0,0
SYN-ADV-00172,7869.55,3,0.16,0,0,0,0,87,0,1,6,2,75.2,1,1
SYN-ADV-00173,500.0,5,0.34,1,0,1,1,19,0,1,9,3,87.5,1,1
SYN-ADV-00174,2872.09,2,0.05,0,0,0,0,755,1,0,1,0,7.9,0,0
SYN-ADV-00175,293.58,2,0.2,0,0,0,0,1509,1,0,2,0,11.2,0,0
SYN-ADV-00176,28228.98,4,0.59,1,0,0,0,230,1,0,2,0,31.7,0,0
SYN-ADV-00177,4963.3,2,0.06,0,0,0,0,80,0,0,4,2,74.2,0,1
SYN-ADV-00178,37863.61,5,0.58,1,0,0,0,275,1,0,4,0,17.6,0,0
SYN-ADV-00179,1446.8,1,0.16,0,0,0,0,728,1,0,2,0,8.5,0,0
SYN-ADV-00180,4190.68,1,0.09,0,0,0,0,112,1,0,3,0,36.6,0,0
SYN-ADV-00181,10.0,4,0.25,0,1,1,0,5,0,1,7,2,86.5,1,1
SYN-ADV-00182,3162.91,1,0.17,0,0,0,0,316,1,0,1,0,2.6,0,0
SYN-ADV-00183,51141.7,3,0.56,1,0,0,0,193,1,0,3,0,20.6,0,0
SYN-ADV-00184,28794.71,2,0.53,1,0,0,0,219,1,0,3,0,29.0,0,0
SYN-ADV-00185,32629.64,5,0.3,1,0,1,0,283,1,0,3,0,15.5,1,0
SYN-ADV-00186,18210.52,4,0.26,0,1,1,0,1340,1,0,4,0,59.9,1,1
SYN-ADV-00187,2501.06,2,0.1,0,0,0,0,568,1,0,2,0,8.6,0,0
SYN-ADV-00188,9492.19,3,0.11,0,0,0,0,468,1,0,8,0,36.7,0,0
SYN-ADV-00189,24356.92,3,0.26,0,0,0,0,1047,1,0,5,0,32.1,0,0
SYN-ADV-00190,3692.04,2,0.1,0,0,0,0,235,1,0,3,0,26.4,1,0
SYN-ADV-00191,1059.28,2,0.17,0,0,0,0,686,1,0,1,0,14.7,0,0
SYN-ADV-00192,28334.16,3,0.27,0,0,0,0,554,1,0,6,0,25.6,0,0
SYN-ADV-00193,45006.23,2,0.27,1,0,0,0,121,1,0,4,0,13.1,0,0
SYN-ADV-00194,36436.37,4,0.49,1,0,0,0,198,1,0,2,0,18.1,0,0
SYN-ADV-00195,21470.32,4,0.36,0,0,0,0,824,1,0,5,0,36.7,0,0
SYN-ADV-00196,1849.93,3,0.28,0,0,0,0,16,0,1,9,3,79.3,0,1
SYN-ADV-00197,31111.62,1,0.41,0,1,1,0,1545,1,0,4,1,68.2,0,1
SYN-ADV-00198,1310.12,1,0.14,0,0,0,0,2324,1,0,1,0,9.3,0,0
SYN-ADV-00199,954.91,2,0.11,0,0,0,0,1485,1,0,1,0,8.0,0,0
SYN-ADV-00200,521.45,2,0.14,0,0,0,0,1282,1,0,2,0,4.5,0,0
SYN-ADV-00201,25776.77,2,0.57,0,0,0,0,1701,1,0,5,1,61.8,0,1
SYN-ADV-00202,72.1,2,0.03,0,0,0,0,1755,1,0,2,0,12.6,0,0
SYN-ADV-00203,28650.01,3,0.11,0,0,0,0,1158,1,0,5,0,29.7,0,0
SYN-ADV-00204,218.83,2,0.15,0,0,0,0,1076,1,0,1,0,12.8,0,0
SYN-ADV-00205,25947.78,3,0.21,1,1,1,0,1787,1,0,4,1,46.6,1,1
SYN-ADV-00206,5767.71,2,0.1,0,0,0,0,743,1,0,6,0,31.4,0,0
SYN-ADV-00207,1477.83,2,0.1,0,0,0,0,1016,1,0,2,0,6.2,0,0
SYN-ADV-00208,94.6,1,0.13,0,0,0,0,1151,1,0,1,0,13.9,0,0
SYN-ADV-00209,39877.66,2,0.57,1,0,0,1,2233,1,0,5,0,45.3,1,1
SYN-ADV-00210,44260.23,3,0.35,1,1,0,1,1732,1,0,6,1,69.3,1,1
SYN-ADV-00211,56862.83,3,0.26,1,0,0,0,143,1,0,4,0,29.7,0,0
SYN-ADV-00212,11939.02,2,0.32,1,0,1,0,178,1,0,3,0,26.6,0,0
SYN-ADV-00213,3669.84,1,0.08,0,0,0,0,214,1,1,2,0,24.1,1,0
SYN-ADV-00214,600.03,2,0.14,0,0,0,0,1408,1,0,2,0,10.0,0,0
SYN-ADV-00215,25.0,1,0.1,1,0,1,0,15,0,1,1,0,21.8,1,1
SYN-ADV-00216,881.98,1,0.15,0,0,0,0,535,1,0,2,0,8.9,0,0
SYN-ADV-00217,53.52,1,0.02,0,0,0,0,2270,1,0,1,0,9.4,0,0
SYN-ADV-00218,7431.07,2,0.31,0,0,0,0,84,0,0,7,1,75.4,1,1
SYN-ADV-00219,9618.94,5,0.52,1,1,1,0,46,1,0,4,0,11.6,0,0
SYN-ADV-00220,300.46,1,0.19,0,0,0,0,482,1,0,2,0,2.4,0,0
SYN-ADV-00221,447.01,1,0.16,0,0,0,0,1921,1,0,2,0,14.9,0,0
SYN-ADV-00222,1895.77,2,0.08,0,0,0,0,744,1,0,2,0,3.5,0,0
SYN-ADV-00223,36444.69,3,0.54,1,1,1,0,197,1,0,4,0,22.0,0,0
SYN-ADV-00224,4662.16,1,0.1,0,0,0,0,835,1,0,2,0,4.5,0,0
SYN-ADV-00225,66239.19,2,0.57,1,0,0,0,53,1,0,2,0,12.2,1,0
SYN-ADV-00226,61262.9,2,0.35,1,0,0,0,73,1,0,3,0,15.2,0,0
SYN-ADV-00227,51197.99,4,0.34,1,0,0,0,256,1,0,2,0,22.2,0,0
SYN-ADV-00228,441.99,1,0.13,0,0,0,0,1949,1,0,2,0,2.6,0,0
SYN-ADV-00229,2142.27,2,0.16,0,0,0,0,1505,1,0,2,0,7.3,0,0
SYN-ADV-00230,50.0,8,0.5,1,1,0,1,17,1,1,11,2,80.5,1,1
SYN-ADV-00231,85.64,1,0.19,0,0,0,0,1719,1,0,1,0,9.0,0,0
SYN-ADV-00232,2916.3,1,0.06,0,0,0,0,361,1,0,1,0,4.4,0,0
SYN-ADV-00233,62944.42,3,0.44,1,0,0,0,52,1,0,2,0,31.2,1,0
SYN-ADV-00234,169.44,2,0.18,0,0,0,0,1037,1,0,2,0,13.9,0,0
SYN-ADV-00235,977.18,2,0.08,0,0,0,0,2385,1,0,2,0,6.0,0,0
SYN-ADV-00236,868.35,2,0.1,0,0,0,0,2123,1,0,2,0,13.9,0,0
SYN-ADV-00237,1450.08,2,0.02,0,0,0,0,1106,1,0,1,0,2.2,0,0
SYN-ADV-00238,51722.55,5,0.37,1,1,0,0,170,1,0,4,0,30.8,0,0
SYN-ADV-00239,719.08,2,0.19,0,0,0,0,2209,1,0,2,0,4.2,0,0
SYN-ADV-00240,18541.26,5,0.32,0,0,0,0,62,1,0,2,0,30.8,0,0
SYN-ADV-00241,2927.02,2,0.04,0,0,0,0,1147,1,0,1,0,11.2,0,0
SYN-ADV-00242,1500.0,1,0.08,1,1,1,1,8,0,1,1,0,10.4,1,1
SYN-ADV-00243,124.77,1,0.11,0,0,0,0,1325,1,0,2,0,2.2,0,0
SYN-ADV-00244,58922.64,3,0.29,1,1,1,0,174,1,0,3,0,27.5,1,0
SYN-ADV-00245,1337.02,2,0.12,0,0,0,0,1125,1,0,2,0,10.9,0,0
SYN-ADV-00246,3337.93,1,0.04,0,0,0,0,224,1,0,2,0,30.3,1,0
SYN-ADV-00247,56592.58,4,0.48,1,1,0,0,66,1,0,4,0,29.5,0,0
SYN-ADV-00248,4734.14,3,0.55,1,1,0,1,1124,1,0,7,1,69.6,0,1
SYN-ADV-00249,28942.15,3,0.48,1,0,0,0,241,1,0,2,0,27.4,0,0
SYN-ADV-00250,33927.36,3,0.17,1,0,1,0,1919,1,0,6,0,54.8,1,1
SYN-ADV-00251,4272.19,2,0.1,0,0,0,0,1657,1,0,2,0,7.6,0,0
SYN-ADV-00252,4888.64,2,0.03,0,0,0,0,1409,1,0,1,0,11.3,0,0
SYN-ADV-00253,1071.59,1,0.16,0,0,0,1,59,0,1,4,2,75.2,0,1
SYN-ADV-00254,10.0,3,0.42,1,1,1,1,20,0,1,10,4,72.3,1,1
SYN-ADV-00255,42.58,1,0.12,0,0,0,0,894,1,0,2,0,4.2,0,0
SYN-ADV-00256,500.0,5,0.21,1,1,1,0,14,0,1,12,2,82.1,1,1
SYN-ADV-00257,1500.0,1,0.07,1,1,1,1,14,0,1,1,0,30.6,1,1
SYN-ADV-00258,591.24,2,0.07,0,0,0,0,1022,1,0,2,0,6.1,0,0
SYN-ADV-00259,33983.57,3,0.32,0,0,0,0,828,1,0,8,0,47.1,0,0
SYN-ADV-00260,2541.8,2,0.08,0,0,0,0,1809,1,0,2,0,3.5,0,0
SYN-ADV-00261,203.63,1,0.14,0,0,0,0,310,1,0,2,0,14.3,0,0
SYN-ADV-00262,100.0,1,0.17,1,1,1,0,3,0,1,1,0,25.8,1,1
SYN-ADV-00263,62218.91,5,0.28,0,0,0,0,259,1,0,3,0,25.4,0,0
SYN-ADV-00264,32218.04,2,0.33,0,0,0,0,853,1,0,7,0,24.7,0,0
SYN-ADV-00265,50057.62,5,0.64,1,0,1,0,95,1,0,4,0,26.4,0,0
SYN-ADV-00266,9683.53,3,0.22,0,0,0,0,970,1,0,9,0,39.3,0,0
SYN-ADV-00267,10.0,5,0.18,1,0,1,0,7,0,1,8,4,79.7,1,1
SYN-ADV-00268,2098.13,2,0.07,0,0,0,0,1429,1,0,1,0,12.5,0,0
SYN-ADV-00269,18828.02,2,0.24,0,0,0,1,41,0,1,6,3,74.8,1,1
SYN-ADV-00270,712.87,1,0.05,0,0,0,0,1970,1,0,2,0,2.4,0,0
SYN-ADV-00271,8913.04,4,0.23,0,0,0,0,184,1,0,6,0,25.8,0,0
SYN-ADV-00272,4020.21,1,0.12,0,0,0,0,2399,1,0,1,0,6.8,0,0
SYN-ADV-00273,2441.42,1,0.13,0,0,0,0,50,0,1,8,1,73.0,0,1
SYN-ADV-00274,28946.49,4,0.34,0,0,0,0,1120,1,0,9,0,36.5,0,0
SYN-ADV-00275,12678.54,2,0.19,0,0,0,0,367,1,0,7,0,39.4,0,0
SYN-ADV-00276,3507.67,2,0.12,0,0,0,0,1771,1,0,2,0,4.4,0,0
SYN-ADV-00277,2642.0,1,0.12,0,0,0,0,2205,1,0,2,0,3.8,0,0
SYN-ADV-00278,3403.19,2,0.13,0,0,0,0,1670,1,0,1,0,8.3,0,0
SYN-ADV-00279,18201.57,4,0.33,1,0,1,1,1857,1,0,3,0,51.6,1,1
SYN-ADV-00280,500.0,3,0.69,1,1,1,1,21,0,1,10,1,88.7,1,1
SYN-ADV-00281,582.9,2,0.08,0,0,0,0,48,1,1,6,2,84.8,1,1
SYN-ADV-00282,4510.46,1,0.16,0,0,0,0,1170,1,0,1,0,12.5,0,0
SYN-ADV-00283,1883.03,2,0.06,0,0,0,0,101,1,0,2,0,26.8,0,0
SYN-ADV-00284,18470.19,4,0.37,1,0,0,0,93,1,0,3,0,30.2,0,0
SYN-ADV-00285,15151.05,3,0.35,1,0,0,0,246,1,0,4,0,23.9,0,0
